Tracking ID,Traffic Source,Campaign Name,ga:date,Time,Session Duration,Pages/session
1d246528bb6d29361660f0901b2892ef,(direct) / (none),(not set),7/7/2014,8:07 PM,0:12:39,8
36c4ebcdf6c2ef3157f50c4c6ba89714,(direct) / (none),(not set),7/12/2014,8:16 AM,0:04:18,3
4782594ab968b83d57f2af902e1c63e4,(direct) / (none),(not set),7/7/2014,4:33 AM,0:00:08,3
5d985b328c55a942fc8bf931913ba51a,(direct) / (none),(not set),7/9/2014,11:18 PM,0:39:21,13
d288247b4c098cab011cd19dbabb34ad,LAFL Newsletter / email,(not set),7/8/2014,7:13 AM,0:05:33,3
de248f42ba9f15a29e1a8dd8fe7a6d01,LAFL Newsletter / email,(not set),7/10/2014,11:15 AM,0:00:22,3
a0ac447160f34b60375561500f8ec4e0,aol / organic,(not set),7/8/2014,12:56 PM,0:08:48,8
9fd4cfd7864c01d64200135e722fe035,bing / cpc,(not set),7/7/2014,9:18 AM,0:07:12,6
d6c482b534c3b55a1cb59d6fcf0d04ba,bing / cpc,(not set),7/6/2014,2:34 PM,0:15:09,15
d70f4e63d84b959e6ac64541f1c5123b,bing / cpc,(not set),7/6/2014,2:35 PM,0:15:09,15
ec96f448631198fbaff423e052217046,bing / organic,(not set),7/10/2014,5:14 PM,0:15:40,5
0bf46a019465019799bda1dbfc3f31c8,google / cpc,Mapi #1,7/6/2014,4:05 PM,0:13:58,15
25a429260ca4fcdc3ff365c768e14600,google / cpc,PERU,7/6/2014,7:18 PM,0:06:24,5
2ac78519cf437e7f1baec31cba5f81c1,google / cpc,PERU,7/10/2014,2:21 PM,0:07:05,8
2c9bbf7c2e2f2203f36119bd65863ccd,google / cpc,Mapi #1,7/12/2014,3:59 PM,0:12:33,12
3eed590d7019a987d14a192dd36e8ff8,google / cpc,PERU,7/12/2014,12:55 PM,0:52:05,6
51ea559152c23782080594939d86cfbe,google / cpc,Mapi #1,7/7/2014,12:19 PM,0:10:33,21
5ca9eb7b0bbffa86fddae86cc3f21d60,google / cpc,PERU,7/11/2014,8:17 PM,0:08:13,3
647da2a6b7950f48cb414c920ab28a8e,google / cpc,PERU,7/7/2014,8:17 PM,0:05:59,3
65b378552342cec6decb3289a47b8821,google / cpc,Mapi #1,7/9/2014,12:08 PM,0:06:50,5
6ee7caba0ddc492c3d4f1efc0a62bed7,google / cpc,Mapi #1,7/10/2014,11:13 AM,0:02:44,7
70314bc956e75faf86bfec13b7e96da1,google / cpc,PERU,7/7/2014,9:26 PM,0:01:54,4
70bac31f2a66b9284b1bcd2623e364b9,google / cpc,Mapi #1,7/7/2014,2:17 PM,0:21:44,5
73131324ada2177d5a9c3b6dc24a6d88,google / cpc,Mapi #1,7/12/2014,3:33 PM,0:27:50,7
8fb27d99bbac20d3a4892d8dea4809ee,google / cpc,PERU,7/8/2014,1:41 PM,0:25:01,19
b2a7d42015dcd202bf50b525557b53a4,google / cpc,Mapi #1,7/7/2014,12:11 AM,0:14:02,8
bda916d32801ed73daaa005280dbac43,google / cpc,PERU,7/9/2014,3:42 PM,0:16:45,10
c5b4cdba0830bf5d8b76bb361062d6e5,google / cpc,PERU,7/8/2014,10:47 AM,0:09:16,13
d2371865edf59aabe9e8c4479506ffdf,google / cpc,Peru - Brandname,7/12/2014,8:47 PM,0:44:22,9
e297bbb01bd4a5faa9f0122ca09af704,google / cpc,PERU,7/8/2014,11:57 AM,0:20:14,14
e8fbfd975d2fdc5fd7bf4d6090f2bffb,google / cpc,PERU,7/8/2014,2:05 PM,0:11:47,5
f7c4a3eedbeed94712eb9741248fc35c,google / cpc,PFL Remarketing List,7/12/2014,10:04 AM,0:14:07,13
fcbeeb161a083a1c56195687b2df3d7b,google / cpc,Inca Trail,7/8/2014,12:23 PM,0:03:46,3
c11eac25218f3b1caf3591121c72dbad,google / organic,(not set),7/6/2014,10:39 AM,0:11:22,4
ee4c469853b1a9a8f1cc82ddf1b5a5e0,google / organic,(not set),7/6/2014,10:44 AM,0:38:39,9
ffdd70522495b5eda5e02553067a39d1,google / organic,(not set),7/8/2014,2:33 PM,0:13:17,15
0db43c8463ed9ac721717d3fdaf32eaf,latinamericaforless.com / referral,(not set),7/12/2014,4:50 PM,0:04:44,2
1c1929e106e750addb3deb12591b61fa,latinamericaforless.com / referral,(not set),7/6/2014,5:06 PM,0:14:42,7
4c1aa15b8f2e615a7bba0758091d2f35,latinamericaforless.com / referral,(not set),7/7/2014,7:45 PM,0:22:40,8
6d4c904a650f9a2687873c301f0dd914,latinamericaforless.com / referral,(not set),7/9/2014,4:20 PM,0:24:14,9
fda7a0c90fbf1ebbede15b15bbcf4bec,latinamericaforless.com / referral,(not set),7/7/2014,4:15 PM,0:14:25,3
ba0e3f5ec50b1b8cbb00a837d2f0edfb,yahoo / organic,(not set),7/11/2014,12:59 PM,0:15:43,5
dc28bfe592cfa0c92f22d91289fb8154,yahoo / organic,(not set),7/8/2014,12:35 PM,0:13:44,11
